plant_latin_name,plant_common_name,molecule_name,percentage_typical,role,is_signature,evidence,notes
Melaleuca alternifolia,Tea tree,alpha-terpineol,4,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Tea tree
Melaleuca alternifolia,Tea tree,p-cymene,3,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Tea tree
Cymbopogon citratus,Citronnelle,geranial,45,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Citronnelle
Cymbopogon citratus,Citronnelle,neral,35,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Citronnelle
Cymbopogon citratus,Citronnelle,myrcene,8,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Citronnelle
Cymbopogon citratus,Citronnelle,geraniol,3,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Citronnelle
Cymbopogon citratus,Citronnelle,limonene,2,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Citronnelle
Cymbopogon martinii,Palmarosa,geraniol,80,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Palmarosa
Cymbopogon martinii,Palmarosa,geranyl acetate,10,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Palmarosa
Cymbopogon martinii,Palmarosa,linalool,3,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Palmarosa
Cymbopogon martinii,Palmarosa,beta-caryophyllene,2,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Palmarosa
Elettaria cardamomum,Cardamome,"1,8-cineole",35,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Cardamome
Elettaria cardamomum,Cardamome,alpha-terpinyl acetate,35,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Cardamome
Elettaria cardamomum,Cardamome,linalool,5,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Cardamome
Elettaria cardamomum,Cardamome,linalyl acetate,5,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Cardamome
Elettaria cardamomum,Cardamome,limonene,3,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Cardamome
Coriandrum sativum,Coriandre,linalool,70,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Coriandre
Coriandrum sativum,Coriandre,gamma-terpinene,8,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Coriandre
Coriandrum sativum,Coriandre,alpha-pinene,5,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Coriandre
Coriandrum sativum,Coriandre,camphor,4,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Coriandre
Coriandrum sativum,Coriandre,geranyl acetate,3,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Coriandre
Piper nigrum,Poivre noir,beta-caryophyllene,30,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Poivre noir
Piper nigrum,Poivre noir,limonene,20,majeur,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Poivre noir
Piper nigrum,Poivre noir,sabinene,15,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Poivre noir
Piper nigrum,Poivre noir,alpha-pinene,10,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Poivre noir
Piper nigrum,Poivre noir,beta-pinene,8,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Poivre noir
Piper nigrum,Poivre noir,delta-3-carene,5,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Poivre noir
Myristica fragrans,Muscade,sabinene,25,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Muscade
Myristica fragrans,Muscade,alpha-pinene,20,majeur,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Muscade
Myristica fragrans,Muscade,myristicin,8,secondaire,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Muscade
Myristica fragrans,Muscade,terpinen-4-ol,6,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Muscade
Myristica fragrans,Muscade,limonene,5,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Muscade
Myristica fragrans,Muscade,safrole,2,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Muscade
Chamaemelum nobile,Camomille romaine,isobutyl angelate,35,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Camomille romaine
Chamaemelum nobile,Camomille romaine,isoamyl angelate,15,majeur,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Camomille romaine
Chamaemelum nobile,Camomille romaine,alpha-pinene,10,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Camomille romaine
Chamaemelum nobile,Camomille romaine,pinocarvone,5,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Camomille romaine
Chamaemelum nobile,Camomille romaine,trans-pinocarveol,3,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Camomille romaine
Matricaria chamomilla,Camomille allemande,chamazulene,5,secondaire,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Camomille allemande
Matricaria chamomilla,Camomille allemande,alpha-bisabolol,25,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Camomille allemande
Matricaria chamomilla,Camomille allemande,bisabolol oxide A,20,majeur,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Camomille allemande
Matricaria chamomilla,Camomille allemande,bisabolol oxide B,10,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Camomille allemande
Matricaria chamomilla,Camomille allemande,farnesene,15,majeur,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Camomille allemande
Helichrysum italicum,Immortelle,neryl acetate,35,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Immortelle
Helichrysum italicum,Immortelle,italidione,8,secondaire,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Immortelle
Helichrysum italicum,Immortelle,gamma-curcumene,10,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Immortelle
Helichrysum italicum,Immortelle,limonene,5,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Immortelle
Helichrysum italicum,Immortelle,alpha-pinene,3,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Immortelle
Foeniculum vulgare,Fenouil,trans-anethole,75,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Fenouil
Foeniculum vulgare,Fenouil,fenchone,10,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Fenouil
Foeniculum vulgare,Fenouil,methyl chavicol,5,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Fenouil
Foeniculum vulgare,Fenouil,limonene,3,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Fenouil
Foeniculum vulgare,Fenouil,alpha-pinene,2,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Fenouil
Illicium verum,Anis étoilé,trans-anethole,90,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Anis étoilé
Illicium verum,Anis étoilé,limonene,3,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Anis étoilé
Illicium verum,Anis étoilé,linalool,1,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Anis étoilé
Illicium verum,Anis étoilé,estragole,1,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Anis étoilé
Cuminum cyminum,Cumin,cuminaldehyde,35,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Cumin
Cuminum cyminum,Cumin,gamma-terpinene,15,majeur,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Cumin
Cuminum cyminum,Cumin,beta-pinene,12,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Cumin
Cuminum cyminum,Cumin,p-cymene,10,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Cumin
Cuminum cyminum,Cumin,safranal,3,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Cumin
Carum carvi,Carvi,carvone,55,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Carvi
Carum carvi,Carvi,limonene,40,majeur,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Carvi
Carum carvi,Carvi,myrcene,1,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Carvi
Carum carvi,Carvi,trans-dihydrocarvone,1,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Carvi
Mentha spicata,Menthe verte,carvone,60,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Menthe verte
Mentha spicata,Menthe verte,limonene,15,majeur,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Menthe verte
Mentha spicata,Menthe verte,"1,8-cineole",5,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Menthe verte
Mentha spicata,Menthe verte,dihydrocarvone,3,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Menthe verte
Mentha spicata,Menthe verte,myrcene,2,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Menthe verte
